epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,12406,0.50229,0.31985,0.84707,0.99302,0.99412,0.99361,0.88121,0.56708,0.29702,0.81545,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,12607.3,0.50826,0.31828,0.84528,0.99099,0.99706,0.99405,0.8854,0.56257,0.29247,0.81426,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,12809.3,0.49568,0.32276,0.84616,0.99413,0.99641,0.994,0.88718,0.55726,0.29184,0.81351,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,13009.7,0.50234,0.31906,0.84591,0.99095,0.99706,0.99426,0.88229,0.56331,0.29885,0.81295,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,13209.4,0.48794,0.31149,0.84563,0.99098,0.99706,0.99462,0.88248,0.56305,0.29017,0.81237,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,13409.6,0.48762,0.31456,0.83799,0.99412,0.99407,0.99363,0.88115,0.56318,0.29385,0.81515,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,13610.2,0.48322,0.29895,0.83867,0.99122,0.99671,0.9938,0.88708,0.56325,0.29022,0.81389,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,13808.1,0.49353,0.30781,0.84008,0.99266,0.99412,0.9935,0.88591,0.55961,0.29026,0.81396,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,14005.9,0.47815,0.31326,0.83947,0.99077,0.99706,0.99379,0.8816,0.56501,0.29158,0.81349,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,14202.4,0.47904,0.30673,0.84568,0.99413,0.99645,0.99417,0.88175,0.56423,0.29029,0.81635,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,14398.5,0.47204,0.2967,0.83726,0.99401,0.99706,0.99393,0.88459,0.562,0.28887,0.81457,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
